n_imp,fullname,des,v_inf,ps_max,ip,range,ts_max,diameter,h,last_obs_jd,ps_cum,id,last_obs
37,(2019 JR2),2019 JR2,13.3573347513637,-5.95,2.4801067e-05,2079-2122,0,0.013,27.05,2458613.5,-5.78,bK19J02R,2019-05-10
1,(2022 BD1),2022 BD1,26.08,-8.90,2.840e-08,2051-2051,0,0.0048,29.24,2459605.5,-8.90,bK22B01D,2022-01-26
1,(2009 MG1),2009 MG1,16.94,-6.32,2.326e-07,2118-2118,0,0.052,24.09,2455014.5,-6.32,bK09M01G,2009-07-02
1,(2018 BP6),2018 BP6,14.22,-6.66,1.080e-07,2074-2074,0,0.042,24.54,2458155.5,-6.66,bK18B06P,2018-02-06
1,(2003 UX26),2003 UX26,11.53,-7.50,2.280e-08,2101-2101,0,0.047,24.29,2452944.5,-7.50,bK03U26X,2003-11-01
80,(2022 JV1),2022 JV1,6.44519983568905,-6.65,6.3993299e-05,2074-2122,0,0.011,27.48,2459711.5,-5.76,bK22J01V,2022-05-12
94,(2011 OB26),2011 OB26,10.9880659138476,-5.24,5.72422448e-05,2089-2122,0,0.027,25.48,2455780.5,-4.74,bK11O26B,2011-08-07
1,(2014 UA176),2014 UA176,9.22,-8.14,7.234e-08,2078-2078,0,0.014,26.85,2456967.5,-8.14,bK14UH6A,2014-11-06
12,(2014 WA201),2014 WA201,11.5697024596823,-4.68,0.000160637289,2074-2084,0,0.015,26.81,2457010.5,-4.68,bK14WK1A,2014-12-19
24,(2011 UM169),2011 UM169,13.9628478052961,-4.87,3.14161878e-05,2099-2108,0,0.033,25.05,2455868.5,-4.65,bK11UG9M,2011-11-03
3,(2013 EV27),2013 EV27,12.3694292679057,-4.88,2.924104e-05,2038-2087,0,0.014,26.96,2456365.5,-4.88,bK13E27V,2013-03-14
42,(2014 KC45),2014 KC45,8.9109605773065,-7.58,1.4723271e-05,2066-2122,0,0.0045,29.39,2456805.5,-7.10,bK14K45C,2014-05-28
34,(2003 YS70),2003 YS70,3.15876257240843,-7.14,2.637124e-05,2065-2122,0,0.0058,28.84,2453000.5,-6.85,bK03Y70S,2003-12-27
32,(2006 BM8),2006 BM8,14.7852719252075,-6.17,4.3344014e-06,2096-2122,0,0.028,25.40,2453772.5,-5.72,bK06B08M,2006-02-06
4,(2009 VA),2009 VA,8.10387450126792,-4.92,1.843174e-05,2026-2043,0,0.00644,28.60,2455141.5,-4.91,bK09V00A,2009-11-06
80,(2007 UD6),2007 UD6,5.98699968554901,-6.44,8.5749452e-05,2058-2106,0,0.0074,28.31,2454407.5,-5.84,bK07U06D,2007-11-03
160,(2008 EA9),2008 EA9,1.25199878009655,-6.66,6.13155085e-05,2053-2122,0,0.0096,27.73,2454559.5,-5.80,bK08E09A,2008-04-03
12,(2007 UO6),2007 UO6,11.6794612235127,-5.31,1.9215575e-05,2031-2113,0,0.0115,27.35,2454396.5,-5.12,bK07U06O,2007-10-23
22,(2007 US51),2007 US51,15.2519225024889,-6.42,1.53387068e-05,2079-2120,0,0.012,27.21,2454411.5,-6.00,bK07U51S,2007-11-07
49,(2022 GB2),2022 GB2,5.65531471355936,-6.72,4.06460609e-05,2058-2108,0,0.0056,28.90,2459678.5,-6.43,bK22G02B,2022-04-09
1,(2015 ND3),2015 ND3,8.12,-8.76,1.302e-08,2120-2120,0,0.021,25.99,2457247.5,-8.76,bK15N03D,2015-08-13
2,(2017 VC14),2017 VC14,11.506975199656,-8.84,1.09313e-07,2077-2111,0,0.0073,28.34,2458075.5,-8.80,bK17V14C,2017-11-18
2,(2018 AT2),2018 AT2,7.10920615551488,-8.56,1.4751e-07,2109-2115,0,0.00979,27.70,2458138.5,-8.52,bK18A02T,2018-01-20
19,(2018 CM),2018 CM,9.49614453627411,-5.29,0.000157254448,2054-2120,0,0.0093,27.81,2458155.5,-5.20,bK18C00M,2018-02-06
46,(2018 GE2),2018 GE2,6.11298335073271,-5.77,8.4269294e-05,2060-2122,0,0.013,27.02,2458254.5,-5.30,bK18G02E,2018-05-16
21,(2019 SJ),2019 SJ,8.51561174137698,-5.07,0.000568230388,2082-2123,0,0.01,27.58,2458761.5,-4.76,bK19S00J,2019-10-05
31,(2020 BW5),2020 BW5,8.66537262290793,-5.00,3.2628469e-05,2046-2122,0,0.018,26.41,2458886.5,-4.96,bK20B05W,2020-02-07
6,(2019 UN8),2019 UN8,19.3173080264704,-8.92,5.22546e-07,2093-2122,0,0.0039,29.70,2458785.5,-8.53,bK19U08N,2019-10-29
5,(2019 YS),2019 YS,6.25696373358554,-10.47,2.7491e-07,2101-2116,0,0.0017,31.51,2458837.5,-10.09,bK19Y00S,2019-12-20
14,(1995 CS),1995 CS,25.2247233655038,-5.23,2.578348e-06,2042-2063,0,0.0275,25.47,2449755.5,-5.07,bJ95C00S,1995-02-07
91,(2018 SD2),2018 SD2,2.84819886207439,-6.57,8.40255984e-05,2065-2120,0,0.0071,28.41,2458384.5,-6.06,bK18S02D,2018-09-23
5,(2023 KJ4),2023 KJ4,9.5879418246885,-8.95,4.5827e-08,2092-2119,0,0.013,27.00,2460108.5,-8.60,bK23K04J,2023-06-13
7,(2023 LP1),2023 LP1,13.2685442407041,-8.65,7.48338e-07,2064-2075,0,0.004,29.64,2460110.5,-8.25,bK23L01P,2023-06-15
37,(2023 MW5),2023 MW5,7.10983674421211,-6.24,5.4490503e-05,2051-2122,0,0.013,27.03,2460125.5,-5.56,bK23M05W,2023-06-30
2,(2018 WR),2018 WR,6.8106015150005,-8.07,8.0264e-08,2114-2116,0,0.02,26.14,2458461.5,-8.05,bK18W00R,2018-12-09
1,(2019 QR),2019 QR,6.24,-7.47,2.462e-07,2089-2089,0,0.019,26.21,2458720.5,-7.47,bK19Q00R,2019-08-25
46,(2021 AB4),2021 AB4,5.89795004841064,-6.31,2.53843975e-05,2078-2117,0,0.015,26.82,2459246.5,-5.79,bK21A04B,2021-02-01
1,(2003 SQ222),2003 SQ222,15.06,-10.44,1.112e-08,2101-2101,0,0.0034,29.99,2452914.5,-10.44,bK03SM2Q,2003-10-02
2,(2022 JR1),2022 JR1,19.757786177876,-6.41,2.8042e-06,2065-2067,0,0.011,27.36,2459723.5,-6.38,bK22J01R,2022-05-24
3,(2021 FF2),2021 FF2,9.38425509492696,-9.20,6.1679e-08,2075-2108,0,0.0082,28.09,2459296.5,-8.97,bK21F02F,2021-03-23
1,(2021 FT1),2021 FT1,19.40,-6.67,1.045e-07,2097-2097,0,0.043,24.46,2459298.5,-6.67,bK21F01T,2021-03-25
62,(2007 CC27),2007 CC27,10.8777071263819,-5.63,7.59996921e-05,2056-2102,0,0.014,26.88,2454150.5,-5.11,bK07C27C,2007-02-19
4,(2020 WA1),2020 WA1,19.849048455713,-8.67,1.117247e-07,2044-2078,0,0.0063,28.65,2459174.5,-8.34,bK20W01A,2020-11-21
3,(2021 YB),2021 YB,5.55170156781055,-7.67,1.09452e-06,2099-2120,0,0.011,27.49,2459569.5,-7.62,bK21Y00B,2021-12-21
1,(2022 AT2),2022 AT2,6.44,-4.71,2.638e-04,2080-2080,0,0.014,26.94,2459648.5,-4.71,bK22A02T,2022-03-10
32,(2021 YW),2021 YW,24.9631230027887,-5.08,1.72523682e-05,2093-2109,0,0.0331,25.03,2459587.5,-4.61,bK21Y00W,2022-01-08
3,(2022 CS),2022 CS,14.4696754634175,-5.99,2.77072e-06,2072-2075,0,0.022,25.94,2459635.5,-5.90,bK22C00S,2022-02-25
2,(2022 AO1),2022 AO1,13.9626729986431,-8.92,2.948e-07,2113-2114,0,0.0042,29.54,2459588.5,-8.89,bK22A01O,2022-01-09
43,(2021 SU1),2021 SU1,6.23712126790483,-4.60,0.000203459308,2054-2120,0,0.017,26.55,2459549.5,-4.50,bK21S01U,2021-12-01
72,(2022 UV15),2022 UV15,11.3154826357186,-5.33,7.4971948e-05,2048-2123,0,0.021,26.00,2459896.5,-4.84,bK22U15V,2022-11-13
1,(2007 VC3),2007 VC3,11.95,-7.82,1.837e-08,2099-2099,0,0.037,24.82,2454412.5,-7.82,bK07V03C,2007-11-08
2,(2014 GN1),2014 GN1,21.229988865029,-4.08,2.085322e-05,2061-2065,0,0.041,24.59,2456753.5,-4.08,bK14G01N,2014-04-06
1,(2009 HS44),2009 HS44,18.29,-5.97,6.725e-06,2111-2111,0,0.017,26.55,2454947.5,-5.97,bK09H44S,2009-04-26
5,(2011 YC63),2011 YC63,18.828778738887,-6.34,4.4435002e-06,2034-2105,0,0.0054,28.98,2455927.5,-6.33,bK11Y63C,2012-01-01
2,(2011 YQ1),2011 YQ1,11.6503800763872,-6.41,1.39814e-06,2113-2113,0,0.026,25.60,2455923.5,-6.40,bK11Y01Q,2011-12-28
73,(2008 CT1),2008 CT1,13.7723369290858,-5.30,0.0002283769299,2028-2122,0,0.0101,27.57,2454499.5,-4.97,bK08C01T,2008-02-03
1,(2021 BO2),2021 BO2,10.30,-8.16,1.610e-07,2050-2050,0,0.0071,28.41,2459232.5,-8.16,bK21B02O,2021-01-18
38,(2020 MJ),2020 MJ,17.0553422021042,-4.36,0.000101526094,2083-2107,0,0.03,25.26,2459027.5,-4.15,bK20M00J,2020-06-27
6,(2011 EB),2011 EB,10.3111849253324,-5.54,3.37228e-05,2070-2122,0,0.014,26.91,2455630.5,-5.46,bK11E00B,2011-03-10
34,(2013 QM48),2013 QM48,7.47052388563664,-7.71,4.0142158e-06,2091-2122,0,0.011,27.41,2456547.5,-6.92,bK13Q48M,2013-09-12
19,(2013 CY),2013 CY,2.41909604288636,-8.06,3.6420157e-06,2058-2120,0,0.0078,28.19,2456365.5,-7.36,bK13C00Y,2013-03-14
7,(2022 NX),2022 NX,4.90252846361518,-6.94,4.38191e-06,2088-2121,0,0.016,26.65,2459789.5,-6.60,bK22N00X,2022-07-29
1,(2017 RW17),2017 RW17,13.79,-11.08,1.740e-09,2081-2081,0,0.0036,29.84,2458011.5,-11.08,bK17R17W,2017-09-15
36,(2016 LP10),2016 LP10,15.5503670147266,-6.43,9.6204314e-05,2033-2119,0,0.00423,29.51,2457548.5,-6.02,bK16L10P,2016-06-09
50,(2020 JK),2020 JK,18.6415437891517,-5.46,8.8886102e-06,2063-2122,0,0.0523,24.06,2458974.5,-4.60,bK20J00K,2020-05-05
24,(2020 KN2),2020 KN2,7.88058449696296,-5.04,4.2869239e-05,2063-2121,0,0.018,26.32,2459003.5,-5.02,bK20K02N,2020-06-03
1,(2021 HY9),2021 HY9,10.27,-7.04,4.803e-06,2101-2101,0,0.0082,28.09,2459326.5,-7.04,bK21H09Y,2021-04-22
12,(2021 JB6),2021 JB6,8.58465315534833,-8.31,2.4346995e-06,2103-2122,0,0.0059,28.78,2459347.5,-7.78,bK21J06B,2021-05-13
2,(2019 TD),2019 TD,9.78847440998528,-7.76,1.8347e-06,2042-2060,0,0.0049,29.18,2458763.5,-7.57,bK19T00D,2019-10-07
1,(2016 JS5),2016 JS5,16.71,-10.19,4.525e-08,2121-2121,0,0.0025,30.62,2457513.5,-10.19,bK16J05S,2016-05-05
1,(2008 EV84),2008 EV84,12.92,-5.78,7.219e-07,2041-2041,0,0.029,25.35,2454537.5,-5.78,bK08E84V,2008-03-12
63,(2017 RN16),2017 RN16,8.13510736882366,-6.67,5.4256299e-05,2060-2121,0,0.0052,29.06,2458016.5,-6.51,bK17R16N,2017-09-20
101,(2022 RD2),2022 RD2,0.41075813505309,-5.81,0.0009742776,2080-2124,0,0.0066,28.56,2459875.5,-5.20,bK22R02D,2022-10-23
2,(2020 GZ1),2020 GZ1,28.2411813390949,-6.63,8.7477e-08,2040-2040,0,0.021,26.03,2458943.5,-6.60,bK20G01Z,2020-04-04
8,(2010 CS19),2010 CS19,6.81944644134779,-6.11,5.397802e-05,2104-2116,0,0.0085,28.00,2455247.5,-6.06,bK10C19S,2010-02-20
16,(2017 TA5),2017 TA5,10.7398283422323,-6.88,7.636124e-06,2083-2117,0,0.012,27.22,2458041.5,-6.39,bK17T05A,2017-10-15
1,(2022 EE3),2022 EE3,27.78,-6.41,1.273e-08,2113-2113,0,0.12,22.27,2459669.5,-6.41,bK22E03E,2022-03-31
4,(2022 FZ3),2022 FZ3,8.25505909911603,-7.24,2.97974e-06,2047-2054,0,0.0058,28.83,2459672.5,-7.14,bK22F03Z,2022-04-03
1,(2020 DO2),2020 DO2,22.86,-7.75,7.255e-08,2083-2083,0,0.015,26.78,2458904.5,-7.75,bK20D02O,2020-02-25
4,(2020 DN3),2020 DN3,13.887182501076,-7.86,3.317964e-07,2107-2117,0,0.015,26.83,2458913.5,-7.54,bK20D03N,2020-03-05
1,(2007 EK),2007 EK,8.33,-9.70,3.846e-08,2093-2093,0,0.0048,29.26,2454172.5,-9.70,bK07E00K,2007-03-13
1,(2008 VM),2008 VM,10.28,-6.05,3.610e-05,2031-2031,0,0.0032,30.16,2454773.5,-6.05,bK08V00M,2008-11-03
3,(2004 FM4),2004 FM4,14.8161227330038,-7.85,2.29213e-08,2110-2119,0,0.042,24.55,2453095.5,-7.60,bK04F04M,2004-03-31
80,(2005 TA),2005 TA,4.81158767702191,-6.68,2.743022e-05,2082-2121,0,0.012,27.23,2453648.5,-6.08,bK05T00A,2005-10-05
2,(2018 BP3),2018 BP3,6.92121612641217,-8.43,6.7715e-07,2099-2115,0,0.006,28.75,2458146.5,-8.36,bK18B03P,2018-01-28
13,(2018 EV3),2018 EV3,12.5815005174964,-5.64,4.96608258e-05,2081-2121,0,0.013,27.12,2458190.5,-5.58,bK18E03V,2018-03-13
5,(2019 PG),2019 PG,7.20835709693495,-6.53,2.102936e-06,2101-2119,0,0.026,25.59,2458720.5,-6.34,bK19P00G,2019-08-25
1,(2015 BP513),2015 BP513,7.49,-9.16,8.364e-09,2088-2088,0,0.015,26.76,2457051.5,-9.16,bK15Bp3P,2015-01-29
6,(2015 BW516),2015 BW516,11.4862687408607,-5.62,6.26790848e-05,2052-2114,0,0.0099,27.66,2457050.5,-5.32,bK15Bp6W,2015-01-28
3,(2018 XX3),2018 XX3,4.41,-8.63,1.21796e-06,2088-2118,0,0.0039,29.68,2458477.5,-8.52,bK18X03X,2018-12-25
41,(2020 XK1),2020 XK1,5.83202609502159,-8.50,1.290591e-05,2070-2121,0,0.0026,30.58,2459191.5,-7.89,bK20X01K,2020-12-08
13,(2019 MT2),2019 MT2,11.3649753662303,-6.63,5.036176e-06,2079-2121,0,0.0176,26.43,2458671.5,-6.21,bK19M02T,2019-07-07
2,(2012 LJ),2012 LJ,18.6811196470078,-5.67,2.5383e-06,2069-2072,0,0.026,25.61,2456088.5,-5.67,bK12L00J,2012-06-10
4,(2012 SU9),2012 SU9,10.8557467177773,-7.37,1.54697e-06,2100-2119,0,0.012,27.22,2456194.5,-7.13,bK12S09U,2012-09-24
1,(2017 JG3),2017 JG3,8.71,-7.28,1.611e-07,2084-2084,0,0.025,25.65,2457894.5,-7.28,bK17J03G,2017-05-21
1,(2010 XX),2010 XX,8.64,-8.42,8.106e-08,2100-2100,0,0.012,27.18,2455540.5,-8.42,bK10X00X,2010-12-10
27,(2007 FP3),2007 FP3,9.65003545284775,-7.97,2.1284891e-06,2059-2122,0,0.007,28.42,2454180.5,-7.51,bK07F03P,2007-03-21
20,(2011 BU59),2011 BU59,11.3161338927491,-6.61,3.318462e-06,2089-2122,0,0.02,26.14,2455599.5,-6.27,bK11B59U,2011-02-07
1,(2011 EC),2011 EC,6.83,-7.26,7.858e-08,2051-2051,0,0.026,25.58,2455626.5,-7.26,bK11E00C,2011-03-06
35,(2016 EO28),2016 EO28,6.98175899612882,-4.70,0.00059737306,2035-2065,0,0.0051,29.12,2457463.5,-4.68,bK16E28O,2016-03-16
4,(2011 AZ22),2011 AZ22,12.5005208491117,-7.27,9.2426e-07,2034-2095,0,0.00635,28.64,2455572.5,-7.22,bK11A22Z,2011-01-11
119,(2015 YJ),2015 YJ,16.34731253167,-4.28,0.0016384715592,2042-2122,0,0.0075,28.28,2457375.5,-4.05,bK15Y00J,2015-12-19
1,(2016 BQ15),2016 BQ15,21.02,-7.21,3.627e-08,2072-2072,0,0.032,25.14,2457425.5,-7.21,bK16B15Q,2016-02-07
5,(2016 FA14),2016 FA14,15.2045797024605,-8.21,1.041072e-07,2072-2094,0,0.011,27.35,2457483.5,-8.02,bK16F14A,2016-04-05
2,(2019 UT5),2019 UT5,14.4239494833525,-8.85,5.226e-08,2056-2056,0,0.0071,28.40,2458785.5,-8.63,bK19U05T,2019-10-29
1,(2020 SC),2020 SC,21.90,-8.91,6.348e-09,2102-2102,0,0.016,26.69,2459112.5,-8.91,bK20S00C,2020-09-20
23,(2019 DX),2019 DX,12.3923376011158,-6.34,1.01364351e-05,2051-2119,0,0.013,27.00,2458545.5,-6.09,bK19D00X,2019-03-03
14,(2020 AC1),2020 AC1,6.24867008018259,-8.03,4.66186e-06,2096-2121,0,0.007,28.42,2458862.5,-7.40,bK20A01C,2020-01-14
12,(2013 XS21),2013 XS21,7.50346106099291,-7.67,8.8125e-06,2079-2111,0,0.0045,29.38,2456640.5,-7.41,bK13X21S,2013-12-14
7,(2014 QN266),2014 QN266,2.84821845022983,-6.77,1.95358e-06,2078-2120,0,0.019,26.21,2456959.5,-6.63,bK14QQ6N,2014-10-29
9,(2015 BE511),2015 BE511,9.86044586578166,-6.23,5.141637e-05,2057-2111,0,0.00628,28.67,2457050.5,-6.09,bK15Bp1E,2015-01-28
3,(2015 HE183),2015 HE183,13.5788495384777,-8.49,1.291812e-07,2086-2114,0,0.0078,28.20,2457138.5,-8.49,bK15HI3E,2015-04-26
1,(2008 UA92),2008 UA92,8.38,-7.13,1.308e-06,2078-2078,0,0.012,27.30,2454769.5,-7.13,bK08U92A,2008-10-30
23,(2006 UQ216),2006 UQ216,3.73203516678266,-7.16,4.5181614e-06,2061-2120,0,0.012,27.29,2454040.5,-6.83,bK06UL6Q,2006-11-01
16,(2008 EZ84),2008 EZ84,7.91442385443404,-4.68,0.0001932788727,2072-2122,0,0.02,26.16,2454540.5,-4.38,bK08E84Z,2008-03-15
5,(2010 JH110),2010 JH110,8.06986708546205,-4.97,0.00010780762,2071-2102,0,0.019,26.29,2455365.5,-4.83,bK10JB0H,2010-06-18
3,(2008 HC38),2008 HC38,14.0526685292643,-6.79,5.5836e-08,2029-2086,0,0.02,26.10,2454594.5,-6.77,bK08H38C,2008-05-08
2,(2009 WQ25),2009 WQ25,16.8860227033845,-6.25,2.3785e-07,2094-2106,0,0.053,24.03,2455162.5,-6.16,bK09W25Q,2009-11-27
16,(2020 BB5),2020 BB5,8.82074171607008,-6.18,0.000245646181,2092-2121,0,0.0039,29.68,2458879.5,-6.16,bK20B05B,2020-01-31
3,(2019 JO1),2019 JO1,18.228488273126,-5.04,3.986527e-05,2044-2052,0,0.012,27.25,2458613.5,-5.02,bK19J01O,2019-05-10
3,(2019 FE),2019 FE,9.92967569897107,-5.16,5.5689e-06,2095-2118,0,0.05,24.17,2458613.5,-5.13,bK19F00E,2019-05-10
22,(2007 EO88),2007 EO88,10.9533543772711,-6.46,8.682944e-06,2073-2111,0,0.018,26.43,2454177.5,-5.93,bK07E88O,2007-03-18
27,(2007 UN12),2007 UN12,1.5672916701625,-6.16,0.00039570904,2089-2122,0,0.0059,28.79,2459227.5,-5.68,bK07U12N,2021-01-13
35,(2007 KO4),2007 KO4,13.7771406826442,-4.91,1.8735353e-06,2030-2113,0,0.0756,23.26,2454245.5,-4.40,bK07K04O,2007-05-25
9,(2022 GF17),2022 GF17,15.7386743895179,-7.01,1.647837e-06,2076-2122,0,0.016,26.66,2459679.5,-6.72,bK22G17F,2022-04-10
4,(2022 GU3),2022 GU3,8.40051619706055,-5.78,7.073907e-06,2109-2116,0,0.026,25.59,2459703.5,-5.77,bK22G03U,2022-05-04
1,(2006 QN111),2006 QN111,10.55,-5.20,1.931e-06,2079-2079,0,0.06,23.77,2453981.5,-5.20,bK06QB1N,2006-09-03
2,(2006 BO7),2006 BO7,9.8268714050945,-8.23,9.736e-07,2060-2067,0,0.0047,29.31,2453759.5,-8.04,bK06B07O,2006-01-24
3,(2016 LE10),2016 LE10,12.6309981367424,-7.52,3.8642e-07,2035-2072,0,0.013,27.10,2457548.5,-7.22,bK16L10E,2016-06-09
9,(2017 QM33),2017 QM33,17.6161809309834,-6.12,1.388231e-05,2084-2103,0,0.0096,27.74,2457995.5,-6.08,bK17Q33M,2017-08-30
1,(2024 QP2),2024 QP2,9.53,-4.74,8.020e-07,2111-2111,0,0.17,21.52,2460757.5,-4.74,bK24Q02P,2025-03-23
1,(2018 GS3),2018 GS3,19.99,-6.70,5.235e-07,2119-2119,0,0.024,25.78,2458228.5,-6.70,bK18G03S,2018-04-20
1,(2011 BF40),2011 BF40,18.50,-5.70,1.243e-06,2083-2083,0,0.037,24.84,2455595.5,-5.70,bK11B40F,2011-02-03
29,(2011 BP40),2011 BP40,3.45759326497937,-6.19,1.7299071e-06,2031-2119,0,0.0276,25.45,2455596.5,-5.78,bK11B40P,2011-02-04
5,(2013 RR43),2013 RR43,19.0435734614944,-7.04,9.5921e-08,2039-2091,0,0.028,25.40,2456559.5,-6.76,bK13R43R,2013-09-24
1,(2016 SX1),2016 SX1,2.70,-8.63,3.712e-07,2119-2119,0,0.0067,28.50,2457662.5,-8.63,bK16S01X,2016-10-01
1,(2015 HL182),2015 HL182,21.27,-6.86,6.568e-09,2077-2077,0,0.094,22.77,2457134.5,-6.86,bK15HI2L,2015-04-22
1,(2015 RD36),2015 RD36,36.46,-6.34,1.171e-08,2099-2099,0,0.1,22.55,2457302.5,-6.34,bK15R36D,2015-10-07
15,(2015 YM1),2015 YM1,6.81214121873578,-7.18,8.72363e-06,2095-2122,0,0.0072,28.36,2457394.5,-7.01,bK15Y01M,2016-01-07
1,(2014 WR362),2014 WR362,12.07,-8.38,5.454e-08,2078-2078,0,0.012,27.29,2456988.5,-8.38,bK14Wa2R,2014-11-27
2,(2015 FH37),2015 FH37,18.3047572357877,-8.03,1.0607e-08,2078-2113,0,0.036,24.86,2457107.5,-7.93,bK15F37H,2015-03-26
2,(2018 XF2),2018 XF2,9.90586959623342,-7.02,1.4018e-06,2119-2119,0,0.019,26.23,2458494.5,-6.78,bK18X02F,2019-01-11
2,(2005 WY),2005 WY,8.13627168336184,-9.46,4.093e-09,2060-2107,0,0.013,27.15,2453701.5,-9.42,bK05W00Y,2005-11-27
7,(2019 BX1),2019 BX1,3.8948827113721,-7.58,3.80088e-06,2067-2120,0,0.0081,28.12,2458519.5,-7.23,bK19B01X,2019-02-05
1,(2017 FL64),2017 FL64,2.43,-7.57,4.766e-06,2118-2118,0,0.0065,28.59,2457844.5,-7.57,bK17F64L,2017-04-01
3,(2009 CZ1),2009 CZ1,17.8765610786866,-5.68,9.87423e-07,2058-2111,0,0.044,24.42,2454867.5,-5.45,bK09C01Z,2009-02-05
2,(1993 HP1),1993 HP1,9.73497672753312,-8.61,5.586e-08,2065-2112,0,0.014,26.96,2449104.5,-8.41,bJ93H01P,1993-04-27
34,(2012 BU1),2012 BU1,8.96469816874997,-6.36,4.83525016e-05,2069-2121,0,0.0098,27.69,2455951.5,-5.88,bK12B01U,2012-01-25
16,(2012 CL17),2012 CL17,21.4870161563275,-6.68,1.2016159e-06,2096-2115,0,0.0242,25.71,2455968.5,-6.20,bK12C17L,2012-02-11
2,(2018 CK),2018 CK,14.4149378238342,-8.74,7.72e-09,2072-2073,0,0.018,26.40,2458165.5,-8.68,bK18C00K,2018-02-16
29,(2018 NJ),2018 NJ,5.85063143220606,-4.80,0.0006577992,2083-2122,0,0.0093,27.82,2458340.5,-4.79,bK18N00J,2018-08-10
50,(2020 CQ1),2020 CQ1,4.90024764146468,-4.33,0.00464635719,2070-2122,0,0.0059,28.81,2458913.5,-4.32,bK20C01Q,2020-03-05
4,(2016 FC1),2016 FC1,15.1851976328885,-7.66,2.67668e-06,2082-2088,0,0.0051,29.12,2457465.5,-7.52,bK16F01C,2016-03-18
3,(2022 HO2),2022 HO2,15.4799362046655,-5.64,2.367101e-06,2065-2072,0,0.028,25.45,2459699.5,-5.64,bK22H02O,2022-04-30
61,(2008 GM2),2008 GM2,4.61630448211108,-7.37,4.1370483e-05,2071-2122,0,0.0072,28.36,2454570.5,-6.42,bK08G02M,2008-04-14
6,(2008 JL24),2008 JL24,2.72814120568487,-9.04,8.2957e-07,2091-2111,0,0.0041,29.57,2454602.5,-8.69,bK08J24L,2008-05-16
1,(2008 GV),2008 GV,19.67,-6.55,1.150e-08,2055-2055,0,0.084,23.04,2454562.5,-6.55,bK08G00V,2008-04-06
6,(2016 EG28),2016 EG28,14.6575649495093,-7.43,1.847666e-06,2086-2122,0,0.00928,27.82,2457463.5,-7.17,bK16E28G,2016-03-16
10,(2016 EL1),2016 EL1,19.9205545449846,-8.20,4.06261e-07,2044-2119,0,0.00914,27.84,2457450.5,-7.63,bK16E01L,2016-03-03
180,(2016 VB1),2016 VB1,5.45382338055784,-5.45,0.001360384231,2065-2121,0,0.0066,28.56,2457700.5,-4.90,bK16V01B,2016-11-08
6,(2016 WQ1),2016 WQ1,7.67416138112216,-8.60,2.6645e-07,2084-2116,0,0.0089,27.90,2457746.5,-8.25,bK16W01Q,2016-12-24
2,(2016 WW2),2016 WW2,10.0183798184997,-9.91,2.4022e-08,2107-2107,0,0.0053,29.03,2457716.5,-9.83,bK16W02W,2016-11-24
64,(2005 AU3),2005 AU3,14.4054013679866,-6.09,1.64084499e-05,2048-2122,0,0.0215,25.98,2453385.5,-5.37,bK05A03U,2005-01-15
2,(2013 XU21),2013 XU21,11.0421694007365,-6.91,2.987e-07,2055-2066,0,0.02,26.18,2456640.5,-6.90,bK13X21U,2013-12-14
5,(2008 CB6),2008 CB6,7.41013240105761,-7.74,1.102106e-06,2077-2122,0,0.013,27.05,2454512.5,-7.31,bK08C06B,2008-02-16
5,(2024 XV3),2024 XV3,7.46167682767964,-7.93,2.30292e-06,2090-2124,0,0.00601,28.74,2460649.5,-7.80,bK24X03V,2024-12-05
1,(2024 XE6),2024 XE6,18.11,-7.58,9.479e-07,2117-2117,0,0.0082,28.07,2460650.5,-7.58,bK24X06E,2024-12-06
5,(2014 AD16),2014 AD16,8.33010607232784,-5.96,2.476612e-05,2087-2121,0,0.011,27.40,2456663.5,-5.96,bK14A16D,2014-01-06
1,(2018 FY2),2018 FY2,19.77,-7.21,1.079e-07,2093-2093,0,0.024,25.71,2458198.5,-7.21,bK18F02Y,2018-03-21
1,(2008 XU2),2008 XU2,9.93,-5.98,6.265e-07,2039-2039,0,0.026,25.56,2454834.5,-5.98,bK08X02U,2009-01-03
6,(2005 TM173),2005 TM173,9.36335460741127,-5.74,6.28151e-08,2027-2088,0,0.0553,23.93,2453654.5,-5.71,bK05TH3M,2005-10-11
1,(2013 UJ5),2013 UJ5,10.85,-11.21,2.506e-10,2092-2092,0,0.0085,28.01,2456594.5,-11.21,bK13U05J,2013-10-29
1,(2025 FO2),2025 FO2,12.50,-9.46,9.070e-09,2077-2077,0,0.0087,27.95,2460765.5,-9.46,bK25F02O,2025-03-31
5,(2025 DB15),2025 DB15,6.39774683540361,-5.84,7.062591e-06,2059-2124,0,0.02,26.18,2460757.5,-5.79,bK25D15B,2025-03-23
116,(2025 EM),2025 EM,2.32202506670766,-6.89,3.47586772e-05,2069-2125,0,0.0081,28.10,2460756.5,-6.31,bK25E00M,2025-03-22
6,(2025 HX),2025 HX,12.7801199953346,-4.83,0.00012543321,2051-2124,0,0.01,27.57,2460789.5,-4.82,bK25H00X,2025-04-24
47,(2023 PZ),2023 PZ,1.07931571404725,-5.51,0.00099458362,2077-2124,0,0.005,29.14,2460178.5,-5.38,bK23P00Z,2023-08-22
