des,diameter,fullname,h,id,ip,last_obs,last_obs_jd,n_imp,ps_cum,ps_max,range,ts_max,v_inf
1979 XB,0.66,(1979 XB),18.54,bJ79X00B,8.515158e-07,1979-12-15,2444222.5,4,-2.69,-2.99,2056-2113,0,23.7606234552547
2022 KK2,0.0069,(2022 KK2),28.45,bK22K02K,0.0001203297828,2022-05-23,2459722.5,33,-5.59,-5.79,2060-2122,0,15.5694051293592
2000 SG344,0.037,(2000 SG344),24.79,bK00SY4G,0.002743395186,2000-10-03,2451820.5,300,-2.77,-3.11,2069-2122,0,1.35802744453748
2012 VS76,0.014,(2012 VS76),26.95,bK12V76S,1.9442009e-05,2012-11-16,2456247.5,15,-5.74,-6.05,2081-2120,0,11.4626328606267
2018 GN,0.02,(2018 GN),26.19,bK18G00N,3.772e-09,2018-04-09,2458217.5,1,-8.95,-8.95,2102-2102,0,20.20
2011 TO,0.018,(2011 TO),26.32,bK11T00O,2.937e-06,2013-01-12,2456304.5,1,-6.16,-6.16,2064-2064,0,8.55
2012 BA102,0.017,(2012 BA102),26.51,bK12BA2A,1.22522146e-05,2012-02-21,2455978.5,20,-6.03,-6.27,2103-2122,0,7.21203952320587
2014 HN197,0.35,(2014 HN197),19.92,bK14HJ7N,6.5351e-09,2014-04-27,2456774.5,12,-5.51,-5.99,2069-2118,0,21.9988508209515
2005 UL6,0.042,(2005 UL6),24.51,bK05U06L,9.90088e-08,2005-11-22,2453696.5,6,-6.70,-6.95,2068-2119,0,12.3834503195676
2009 DV,0.036,(2009 DV),24.86,bK09D00V,3.1018e-08,2009-02-24,2454886.5,2,-7.25,-7.38,2044-2102,0,22.0982648784577
2009 EH1,0.0091,(2009 EH1),27.85,bK09E01H,5.902e-10,2009-03-05,2454895.5,1,-10.57,-10.57,2068-2068,0,10.69
2021 LY1,0.008,(2021 LY1),28.13,bK21L01Y,8.724e-08,2021-06-12,2459377.5,1,-8.05,-8.05,2040-2040,0,11.47
2021 NM3,0.016,(2021 NM3),26.58,bK21N03M,5.329099e-06,2021-07-13,2459408.5,8,-6.41,-6.48,2111-2120,0,8.21159723247776
2018 XX2,0.021,(2018 XX2),26.02,bK18X02X,8.859e-08,2019-01-11,2458494.5,1,-7.75,-7.75,2106-2106,0,11.91
2019 GP21,0.0038,(2019 GP21),29.75,bK19G21P,3.96111598e-05,2019-04-04,2458577.5,74,-6.79,-7.35,2039-2122,0,10.8171734948038
2018 WA1,0.0034,(2018 WA1),30.01,bK18W01A,6.1740984e-05,2018-11-22,2458444.5,77,-7.08,-7.88,2085-2121,0,3.03482112870115
2019 KJ4,0.012,(2019 KJ4),27.24,bK19K04J,9.80658349999999e-05,2019-06-08,2458642.5,201,-5.38,-6.20,2059-2122,0,5.00834214719123
2005 CM7,0.02,(2005 CM7),26.17,bK05C07M,2.652e-09,2005-02-10,2453411.5,2,-9.12,-9.28,2090-2120,0,18.3491553544495
2017 QF3,0.00919,(2017 QF3),27.83,bK17Q03F,3.09793314e-05,2017-08-21,2457986.5,69,-5.63,-6.08,2043-2121,0,12.7508470140192
2019 NX5,0.0051,(2019 NX5),29.12,bK19N05X,7.76027876e-05,2019-07-11,2458675.5,121,-6.46,-6.79,2069-2122,0,1.79631891148714
2019 UB2,0.024,(2019 UB2),25.78,bK19U02B,1.754e-08,2019-11-04,2458791.5,1,-8.40,-8.40,2105-2105,0,9.85
2019 VD,0.011,(2019 VD),27.42,bK19V00D,4.283777e-06,2019-11-03,2458790.5,13,-6.74,-7.30,2087-2121,0,11.218679877594
2020 OR4,0.025,(2020 OR4),25.64,bK20O04R,8.213274e-06,2020-07-26,2459056.5,19,-5.29,-5.59,2093-2121,0,21.3694823063251
2021 RF16,0.00548,(2021 RF16),28.96,bK21R16F,0.00024180867,2021-09-14,2459471.5,6,-5.35,-5.46,2049-2054,0,8.44364514473364
2025 XJ1,0.025,(2025 XJ1),25.62,bK25X01J,3.4693657e-06,2025-12-22,2461031.5,8,-5.61,-5.89,2056-2114,0,15.3928795560526
2025 YS1,0.005,(2025 YS1),29.13,bK25Y01S,1.092e-07,2025-12-22,2461031.5,1,-9.33,-9.33,2125-2125,0,9.14
2025 XZ3,0.0058,(2025 XZ3),28.83,bK25X03Z,5.5049e-07,2025-12-18,2461027.5,4,-8.43,-8.65,2090-2115,0,8.56115460771313
2026 AC17,0.003,(2026 AC17),30.25,bK26A17C,1.46122e-06,2026-01-13,2461053.5,6,-8.59,-8.67,2083-2126,0,7.68001238690957
2025 VX,0.013,(2025 VX),27.07,bK25V00X,3.22407653e-05,2025-11-09,2460988.5,24,-5.79,-5.84,2074-2123,0,6.3171881246876
2016 EM156,0.0087,(2016 EM156),27.94,bK16EF6M,5.856515e-05,2016-03-17,2457464.5,6,-6.00,-6.02,2108-2116,0,8.80973847928333
2013 NH6,0.073,(2013 NH6),23.35,bK13N06H,8.608e-08,2013-07-16,2456489.5,2,-5.84,-6.13,2060-2060,0,21.7442111988848
2013 UR1,0.0094,(2013 UR1),27.77,bK13U01R,9.87439e-07,2013-10-30,2456595.5,5,-6.75,-6.89,2043-2067,0,21.6573149632534
2014 TL,0.0092,(2014 TL),27.82,bK14T00L,6.602557e-06,2014-10-21,2456951.5,13,-6.75,-6.94,2072-2121,0,10.7197943069632
2014 UU56,0.00742,(2014 UU56),28.29,bK14U56U,9.8328e-08,2014-10-28,2456958.5,7,-8.90,-9.31,2088-2119,0,8.1690067935888
2015 DQ224,0.00441,(2015 DQ224),29.43,bK15DM4Q,3.96481939e-05,2015-02-19,2457072.5,15,-6.14,-6.59,2045-2054,0,13.6969246515665
2013 TV132,0.017,(2013 TV132),26.54,bK13TD2V,3.926197e-06,2013-11-02,2456598.5,11,-6.48,-6.93,2091-2121,0,9.14938302382687
2014 FX32,0.033,(2014 FX32),25.07,bK14F32X,1.627109e-06,2014-05-28,2456805.5,2,-5.92,-5.92,2076-2108,0,9.0496620939347
2015 CT13,0.022,(2015 CT13),25.89,bK15C13T,4.835e-09,2015-03-27,2457108.5,1,-9.20,-9.20,2122-2122,0,6.48
2015 YV1,0.072,(2015 YV1),23.36,bK15Y01V,9.689e-09,2016-01-13,2457400.5,2,-7.20,-7.44,2084-2108,0,17.6490680152751
2008 LD,0.0057,(2008 LD),28.86,bK08L00D,0.000116370403,2008-06-10,2454627.5,142,-6.17,-6.97,2054-2122,0,4.13173498806221
2008 PK9,0.0769,(2008 PK9),23.21,bK08P09K,5.6054e-07,2008-08-08,2454686.5,3,-4.74,-4.92,2049-2065,0,26.3529332429443
2010 TD,0.014,(2010 TD),26.86,bK10T00D,2.647394e-06,2010-10-09,2455478.5,7,-6.28,-6.59,2072-2091,0,18.8519643090526
2010 GV23,0.01,(2010 GV23),27.64,bK10G23V,7.02105e-06,2010-04-16,2455302.5,7,-6.89,-6.94,2096-2121,0,5.45506145092258
2016 GW220,0.016,(2016 GW220),26.59,bK16GM0W,5.907e-10,2016-04-20,2457498.5,1,-9.95,-9.95,2076-2076,0,13.32
2016 TQ2,0.017,(2016 TQ2),26.45,bK16T02Q,1.2006974e-05,2016-10-10,2457671.5,18,-5.79,-6.01,2110-2120,0,15.2111165977373
2022 UQ40,0.0075,(2022 UQ40),28.26,bK22U40Q,4.038e-07,2022-11-23,2459906.5,3,-8.04,-8.11,2066-2105,0,8.4834299157999
2022 UU14,0.0421,(2022 UU14),24.51,bK22U14U,1.281284e-06,2022-11-02,2459885.5,7,-5.25,-5.58,2052-2094,0,28.9990519978397
2022 VE1,0.045,(2022 VE1),24.39,bK22V01E,1.2326028e-05,2022-11-26,2459909.5,15,-4.63,-5.11,2068-2118,0,17.1459185716599
2010 XU,0.029,(2010 XU),25.33,bK10X00U,4.36428e-08,2010-12-14,2455544.5,5,-7.56,-7.69,2054-2088,0,6.21229659875168
2016 VH,0.015,(2016 VH),26.75,bK16V00H,5.633e-10,2016-11-29,2457721.5,1,-10.55,-10.55,2115-2115,0,4.79
2014 SR261,0.015,(2014 SR261),26.81,bK14SQ1R,3.0141487e-06,2014-10-03,2456933.5,15,-6.27,-6.48,2058-2117,0,15.2486059702363
2008 YV32,0.018,(2008 YV32),26.35,bK08Y32V,6.4383293e-06,2009-01-09,2454840.5,26,-6.09,-6.58,2077-2122,0,8.79863224563553
2022 CB3,0.0027,(2022 CB3),30.51,bK22C03B,1.482594e-06,2022-02-07,2459617.5,15,-8.44,-9.04,2083-2120,0,16.7982662684457
2022 CL3,0.008,(2022 CL3),28.13,bK22C03L,1.110e-06,2022-02-10,2459620.5,1,-7.69,-7.69,2093-2093,0,8.74
2008 US,0.0018,(2008 US),31.36,bK08U00S,5.67e-07,2008-10-21,2454760.5,2,-8.66,-8.77,2040-2044,0,18.9124162257496
2009 RR,0.026,(2009 RR),25.56,bK09R00R,9.2927101e-06,2009-09-15,2455089.5,58,-5.49,-6.28,2098-2120,0,12.9536691131686
2011 EU20,0.012,(2011 EU20),27.31,bK11E20U,3.661e-09,2011-03-11,2455631.5,1,-9.74,-9.74,2088-2088,0,9.13
2011 KF36,0.275,(2011 KF36),20.44,bK11K36F,4.669e-10,2011-06-01,2455713.5,4,-5.43,-5.69,2026-2031,0,22.145703576783
2011 SM173,0.0093,(2011 SM173),27.80,bK11SH3M,5.6011071e-05,2011-09-30,2455834.5,14,-5.38,-5.42,2058-2120,0,14.2487095542237
2017 EJ1,0.0097,(2017 EJ1),27.71,bK17E01J,3.988e-10,2017-03-09,2457821.5,1,-11.06,-11.06,2120-2120,0,9.50
2018 HJ2,0.041,(2018 HJ2),24.58,bK18H02J,2.0619e-07,2018-05-23,2458261.5,2,-6.82,-6.90,2085-2114,0,8.39239487851011
2019 HN4,0.0067,(2019 HN4),28.52,bK19H04N,4.695e-08,2019-05-03,2458606.5,1,-9.38,-9.38,2099-2099,0,5.57
2019 QS,0.037,(2019 QS),24.80,bK19Q00S,2.72187e-07,2019-08-28,2458723.5,2,-6.35,-6.35,2096-2108,0,21.5892883201622
2020 FU2,0.00649,(2020 FU2),28.59,bK20F02U,9.129119e-07,2020-03-24,2458932.5,7,-7.91,-8.13,2092-2115,0,12.8792532455761
2020 PC,0.0086,(2020 PC),27.98,bK20P00C,3.7154629e-05,2020-08-07,2459068.5,72,-6.22,-6.65,2069-2122,0,1.4547902747192
2019 UB8,0.0055,(2019 UB8),28.94,bK19U08B,4.879089e-06,2019-10-28,2458784.5,27,-7.29,-7.77,2053-2118,0,10.3371070542062
2019 UN13,0.0013,(2019 UN13),32.12,bK19U13N,8.942669e-07,2019-10-31,2458787.5,4,-9.76,-10.22,2107-2111,0,10.179698801331
2020 DK,0.021,(2020 DK),26.03,bK20D00K,1.565146e-05,2020-02-21,2458900.5,34,-5.54,-6.31,2089-2122,0,10.4503239071627
2021 DG,0.0031,(2021 DG),30.21,bK21D00G,0.000169320156,2021-02-18,2459263.5,9,-6.15,-6.34,2044-2072,0,12.9046360658916
2021 DA2,0.005,(2021 DA2),29.16,bK21D02A,9.6788582e-05,2021-03-02,2459275.5,76,-6.26,-6.84,2064-2122,0,6.92146372637218
2007 VH189,0.073,(2007 VH189),23.32,bK07VI9H,3.9144e-09,2007-11-20,2454424.5,2,-6.94,-6.97,2042-2042,0,18.393669527897
2024 XC17,0.012,(2024 XC17),27.32,bK24X17C,2.705071e-07,2024-12-13,2460657.5,14,-8.02,-8.48,2070-2122,0,4.13550554125936
2008 CM74,0.0083,(2008 CM74),28.05,bK08C74M,2.444599e-06,2008-02-15,2454511.5,24,-7.42,-8.06,2069-2115,0,4.07487636213547
2008 JL3,0.029,(2008 JL3),25.31,bK08J03L,0.0001658147615,2008-05-09,2454595.5,44,-2.68,-2.69,2027-2122,0,8.41901237821941
2008 JQ,0.027,(2008 JQ),25.49,bK08J00Q,6.549e-08,2008-05-15,2454601.5,1,-7.74,-7.74,2101-2101,0,7.56
2009 HW67,0.02,(2009 HW67),26.09,bK09H67W,2.833285e-06,2009-05-01,2454952.5,11,-5.69,-6.08,2046-2079,0,22.6244092987469
2020 HN,0.0064,(2020 HN),28.61,bK20H00N,3.1802824e-05,2020-04-22,2458961.5,38,-6.35,-6.64,2055-2123,0,3.44028641670312
2023 TH,0.014,(2023 TH),26.85,bK23T00H,1.4502e-07,2023-10-26,2460243.5,2,-8.07,-8.16,2108-2108,0,8.15
2020 HW7,0.012,(2020 HW7),27.20,bK20H07W,1.561136e-06,2020-04-30,2458969.5,8,-6.71,-6.79,2044-2121,0,8.74446278863597
2006 GU2,0.00949,(2006 GU2),27.77,bK06G02U,1.97315926e-05,2006-04-09,2453834.5,91,-6.33,-7.20,2073-2121,0,7.30957092814698
2022 GA2,0.0045,(2022 GA2),29.37,bK22G02A,0.0001399012027,2022-04-06,2459675.5,124,-6.01,-6.50,2049-2116,0,7.88267720824247
2017 GM,0.0036,(2017 GM),29.89,bK17G00M,5.257e-08,2017-04-04,2457847.5,2,-9.64,-9.82,2080-2121,0,16.1853186227887
2017 JB2,0.00517,(2017 JB2),29.09,bK17J02B,3.39964e-06,2017-05-29,2457902.5,11,-7.93,-8.65,2099-2122,0,2.92410366980033
2020 VV6,0.0071,(2020 VV6),28.39,bK20V06V,1.486024e-06,2020-11-19,2459172.5,11,-7.41,-7.55,2060-2122,0,13.3935158247781
2021 GR,0.0079,(2021 GR),28.17,bK21G00R,6.61412e-06,2021-04-14,2459318.5,20,-7.02,-7.51,2077-2121,0,7.05363043004965
2002 AN129,0.021,(2002 AN129),26.04,bK02AC9N,1.1134e-07,2002-01-15,2452289.5,2,-7.43,-7.50,2064-2111,0,11.4856520567631
2022 CA1,0.012,(2022 CA1),27.28,bK22C01A,2.25433492e-05,2022-03-07,2459645.5,17,-6.16,-6.54,2055-2122,0,3.78033905840398
2016 CD30,0.0099,(2016 CD30),27.66,bK16C30D,5.82148302e-05,2016-02-11,2457429.5,5,-5.50,-5.53,2056-2105,0,10.5315599458023
2016 CY135,0.043,(2016 CY135),24.47,bK16CD5Y,1.93048e-06,2016-08-08,2457608.5,6,-5.85,-6.29,2103-2119,0,6.74286032489329
2019 KT,0.017,(2019 KT),26.56,bK19K00T,1.9038e-07,2019-05-27,2458630.5,2,-7.71,-7.80,2110-2110,0,11.7180418111146
2017 RU2,0.024,(2017 RU2),25.77,bK17R02U,6.046825e-07,2017-09-21,2458017.5,3,-6.85,-6.85,2093-2114,0,7.73014967358903
2017 WY27,0.0091,(2017 WY27),27.86,bK17W27Y,2.6027085e-06,2017-11-28,2458085.5,31,-7.26,-7.95,2064-2122,0,8.09835665000518
2017 YD1,0.0034,(2017 YD1),29.97,bK17Y01D,2.5443875e-06,2017-12-30,2458117.5,4,-8.44,-8.55,2102-2121,0,2.66760217341109
2010 UY7,0.0067,(2010 UY7),28.53,bK10U07Y,0.000243524707,2010-11-06,2455506.5,101,-5.68,-6.13,2066-2121,0,3.86757417069801
2011 QF48,0.03,(2011 QF48),25.28,bK11Q48F,3.1956e-07,2011-09-21,2455825.5,2,-6.32,-6.45,2067-2067,0,19.9176755538866
2013 TX68,0.03,(2013 TX68),25.25,bK13T68X,5.2345e-08,2013-10-09,2456574.5,5,-6.24,-6.27,2027-2108,0,14.3075181965804
2014 EC,0.0076,(2014 EC),28.24,bK14E00C,9.329e-09,2014-03-06,2456722.5,1,-9.74,-9.74,2119-2119,0,15.77
2014 LJ,0.0067,(2014 LJ),28.51,bK14L00J,2.54443647e-05,2014-06-30,2456838.5,177,-6.65,-7.81,2060-2122,0,3.61638147161128
2016 JA6,0.018,(2016 JA6),26.35,bK16J06A,4.886504e-06,2016-05-19,2457527.5,15,-6.18,-6.45,2081-2118,0,11.3372469335951
2004 FY3,0.032,(2004 FY3),25.11,bK04F03Y,7.8026e-07,2004-03-30,2453094.5,5,-6.45,-6.69,2116-2122,0,11.7839471458232
2017 QJ2,0.019,(2017 QJ2),26.24,bK17Q02J,1.5582e-09,2017-08-20,2457985.5,2,-8.41,-8.42,2033-2045,0,19.2209973045822
2017 QU34,0.0072,(2017 QU34),28.35,bK17Q34U,1.1975988e-05,2017-08-31,2457996.5,15,-6.55,-6.79,2083-2114,0,14.4849389712147
2018 GG4,0.02,(2018 GG4),26.19,bK18G04G,2.0549e-07,2018-04-24,2458232.5,2,-6.99,-7.17,2058-2070,0,16.6459783931092
2009 YR,0.0085,(2009 YR),28.00,bK09Y00R,1.2249807e-05,2009-12-25,2455190.5,17,-6.51,-6.84,2060-2114,0,3.11571090222075
2021 PA15,0.02,(2021 PA15),26.17,bK21P15A,5.214e-07,2021-09-15,2459472.5,1,-7.19,-7.19,2114-2114,0,8.95
2010 KV7,0.021,(2010 KV7),26.04,bK10K07V,4.06682831e-05,2010-05-20,2455336.5,139,-4.70,-4.99,2034-2122,0,5.36935408173157
2021 LC4,0.018,(2021 LC4),26.42,bK21L04C,4.10031e-07,2021-06-12,2459377.5,2,-7.26,-7.26,2112-2122,0,15.249467162239
2022 YC,0.0043,(2022 YC),29.47,bK22Y00C,1.12020323e-05,2022-12-17,2459930.5,52,-7.35,-7.94,2056-2121,0,4.80522605598986
2021 EZ3,0.03,(2021 EZ3),25.25,bK21E03Z,3.736e-08,2021-05-05,2459339.5,1,-7.90,-7.90,2111-2111,0,8.33
2010 RF12,0.0071,(2010 RF12),28.39,bK10R12F,0.102637259069,2022-08-24,2459815.5,70,-2.97,-2.97,2095-2122,0,5.10001588137266
2010 XN69,0.019,(2010 XN69),26.26,bK10X69N,3.17590717e-05,2010-12-16,2455546.5,114,-5.22,-6.09,2039-2122,0,7.30211201362035
2012 MF7,0.015,(2012 MF7),26.84,bK12M07F,0.0001607253471,2012-07-22,2456130.5,19,-4.43,-4.47,2046-2104,0,8.70117483784859
2013 PG10,0.0096,(2013 PG10),27.73,bK13P10G,9.515386e-06,2013-08-11,2456515.5,33,-6.43,-6.56,2056-2122,0,6.8654019689795
2015 KG158,0.0074,(2015 KG158),28.30,bK15KF8G,0.0003255604023,2015-05-24,2457166.5,87,-5.22,-5.36,2045-2122,0,7.6931042791318
2015 KH160,0.018,(2015 KH160),26.39,bK15KG0H,4.03583e-08,2015-05-27,2457169.5,6,-7.72,-7.88,2087-2117,0,29.8876727463744
2016 CO248,0.011,(2016 CO248),27.51,bK16CO8O,9.452e-09,2016-03-10,2457457.5,1,-9.51,-9.51,2086-2086,0,5.07
2016 TQ54,0.012,(2016 TQ54),27.25,bK16T54Q,1.8043724e-06,2016-10-10,2457671.5,10,-7.12,-7.50,2082-2120,0,9.00024891979062
2012 XL134,0.0092,(2012 XL134),27.84,bK12XD4L,8.957e-10,2012-12-14,2456275.5,1,-10.62,-10.62,2089-2089,0,8.66
2000 SZ162,0.013,(2000 SZ162),27.10,bK00SG2Z,2.21849e-06,2000-10-07,2451824.5,9,-6.94,-7.32,2070-2120,0,4.14677388674278
2014 CR13,0.024,(2014 CR13),25.74,bK14C13R,8.732454e-05,2014-03-10,2456726.5,25,-4.62,-4.73,2102-2117,0,12.2904047063975
2024 WS,0.017,(2024 WS),26.52,bK24W00S,3.570163e-06,2024-12-01,2460645.5,7,-6.40,-6.43,2099-2120,0,10.9801869690544
2021 EJ3,0.0098,(2021 EJ3),27.69,bK21E03J,0.0006464105,2021-03-17,2459290.5,156,-4.93,-5.35,2078-2122,0,2.1557250139037
2008 BE15,0.04,(2008 BE15),24.66,bK08B15E,7.201e-10,2008-02-03,2454499.5,1,-8.98,-8.98,2102-2102,0,18.05
2010 FN,0.016,(2010 FN),26.64,bK10F00N,4.1495682e-06,2010-03-21,2455276.5,17,-6.46,-6.95,2078-2120,0,6.79707305834858
2010 UK,0.014,(2010 UK),26.85,bK10U00K,0.0006709082165,2010-11-01,2455501.5,48,-4.18,-4.19,2068-2121,0,6.08212531297863
2020 AW,0.0062,(2020 AW),28.68,bK20A00W,0.0001972727787,2020-01-06,2458854.5,265,-5.78,-6.54,2061-2122,0,4.54885164112609
2020 AR1,0.012,(2020 AR1),27.20,bK20A01R,4.68272e-07,2020-01-08,2458856.5,3,-7.74,-7.79,2096-2121,0,9.13081482557146
2020 KC5,0.012,(2020 KC5),27.34,bK20K05C,3.6235357e-05,2020-05-30,2458999.5,3,-5.79,-5.79,2092-2104,0,8.96002776376675
2020 KS,0.024,(2020 KS),25.79,bK20K00S,7.452e-08,2020-06-29,2459029.5,1,-7.80,-7.80,2095-2095,0,7.06
2020 SX6,0.013,(2020 SX6),27.07,bK20S06X,2.453161e-06,2020-10-24,2459146.5,17,-7.07,-7.49,2095-2118,0,4.02791060187244
2018 PU23,0.008,(2018 PU23),28.12,bK18P23U,1.4429016e-05,2018-08-19,2458349.5,45,-6.69,-7.31,2070-2122,0,1.78314803871588
2018 VP1,0.0023,(2018 VP1),30.85,bK18V01P,4.759111e-07,2018-11-16,2458438.5,15,-8.19,-8.73,2027-2118,0,9.53262840475879
2019 ED1,0.011,(2019 ED1),27.53,bK19E01D,1.297838e-05,2019-03-14,2458556.5,8,-6.26,-6.74,2070-2103,0,9.41919065399534
2009 OW6,0.029,(2009 OW6),25.31,bK09O06W,2.0794245e-05,2009-08-09,2455052.5,15,-5.13,-5.35,2077-2121,0,6.64674621752316
2010 UB,0.037,(2010 UB),24.83,bK10U00B,6.161e-06,2010-10-22,2455491.5,4,-5.51,-5.66,2116-2119,0,7.99140107125467
2009 WP6,0.015,(2009 WP6),26.77,bK09W06P,4.11566286e-05,2009-11-20,2455155.5,46,-4.91,-5.17,2072-2120,0,25.3406183325716
2009 XR1,0.00471,(2009 XR1),29.28,bK09X01R,1.321024e-07,2009-12-11,2455176.5,18,-9.01,-9.29,2049-2116,0,6.0295880998377
2012 WR10,0.0067,(2012 WR10),28.52,bK12W10R,1.695792e-06,2012-12-18,2456279.5,14,-7.85,-8.36,2081-2119,0,2.72926480959929
2017 BG92,0.0061,(2017 BG92),28.73,bK17B92G,1.5651653e-05,2017-02-04,2457788.5,16,-6.78,-6.90,2072-2120,0,5.3344301921337
2017 CY32,0.00661,(2017 CY32),28.54,bK17C32Y,4.373e-09,2017-02-01,2457785.5,4,-10.08,-10.18,2090-2110,0,18.0772798993826
2013 BR15,0.032,(2013 BR15),25.10,bK13B15R,1.62839e-07,2013-01-18,2456310.5,3,-6.95,-7.05,2100-2110,0,14.0824842328926
2021 JW2,0.01,(2021 JW2),27.62,bK21J02W,0.0001050810274,2021-06-08,2459373.5,216,-5.48,-6.32,2046-2122,0,4.89238510136607
2020 CE1,0.025,(2020 CE1),25.66,bK20C01E,2.681e-07,2020-02-27,2458906.5,1,-7.09,-7.09,2121-2121,0,14.56
2020 DW,0.0029,(2020 DW),30.34,bK20D00W,5.76379e-06,2020-02-19,2458898.5,3,-8.26,-8.34,2108-2121,0,3.78351222025785
2018 XR4,0.015,(2018 XR4),26.80,bK18X04R,3.460016e-06,2018-12-15,2458467.5,8,-6.33,-6.54,2062-2117,0,11.7998276597565
2006 DM63,0.015,(2006 DM63),26.73,bK06D63M,0.0001422170421,2006-02-28,2453794.5,46,-3.95,-4.20,2031-2122,0,10.3663089172349
2016 SU2,0.0098,(2016 SU2),27.68,bK16S02U,4.32497e-06,2016-10-03,2457664.5,11,-6.87,-7.29,2102-2120,0,12.7283721043152
2016 WF7,0.0061,(2016 WF7),28.73,bK16W07F,2.916965e-06,2016-12-01,2457723.5,8,-7.74,-8.04,2087-2120,0,6.54448892941808
2009 TH8,0.036,(2009 TH8),24.86,bK09T08H,9.78383e-06,2009-10-18,2455122.5,4,-5.07,-5.13,2097-2100,0,13.028912491325
2009 TU,0.011,(2009 TU),27.36,bK09T00U,1.86409591e-05,2009-10-18,2455122.5,13,-5.89,-6.44,2086-2120,0,15.150014948748
2009 VT1,0.0042,(2009 VT1),29.55,bK09V01T,4.25531e-06,2009-11-11,2455146.5,24,-7.51,-7.71,2046-2121,0,6.95973291017575
2010 RM80,0.0088,(2010 RM80),27.92,bK10R80M,1.17333184e-05,2010-09-19,2455458.5,36,-6.78,-7.36,2102-2124,0,5.36628438498694
2018 LD1,0.018,(2018 LD1),26.38,bK18L01D,1.180208e-06,2018-06-13,2458282.5,7,-6.90,-6.93,2100-2121,0,10.8856905138755
2015 FF36,0.017,(2015 FF36),26.51,bK15F36F,2.1367185e-06,2015-03-26,2457107.5,10,-6.62,-6.90,2073-2117,0,8.86651974651785
2012 DJ54,0.0069,(2012 DJ54),28.46,bK12D54J,0.000324815422,2012-03-15,2456001.5,115,-5.44,-5.83,2068-2122,0,5.42760910471794
2022 DO2,0.0083,(2022 DO2),28.05,bK22D02O,1.43188e-06,2022-03-07,2459645.5,3,-7.65,-7.69,2107-2116,0,8.7698361594547
2017 TB,0.0051,(2017 TB),29.13,bK17T00B,5.2458918e-05,2017-10-05,2458031.5,148,-6.53,-7.18,2046-2122,0,5.78474931842857
2024 FY1,0.018,(2024 FY1),26.36,bK24F01Y,1.9151e-07,2024-04-14,2460414.5,4,-7.62,-8.00,2091-2114,0,10.3771171218213
2024 GV3,0.0065,(2024 GV3),28.59,bK24G03V,1.609e-08,2024-04-12,2460412.5,1,-9.61,-9.61,2082-2082,0,10.84
2024 GZ5,0.003,(2024 GZ5),30.26,bK24G05Z,0.00037913687,2024-04-15,2460415.5,9,-6.42,-6.58,2112-2124,0,3.69596229192903
2017 UQ6,0.013,(2017 UQ6),27.12,bK17U06Q,3.177776e-07,2017-11-13,2458070.5,6,-7.88,-8.05,2087-2104,0,3.02656747989789
2017 WT28,0.0082,(2017 WT28),28.08,bK17W28T,0.011543968326,2017-12-16,2458103.5,113,-3.83,-3.85,2083-2121,0,4.47011685866956
2024 FQ5,0.0022,(2024 FQ5),30.98,bK24F05Q,5.7797e-06,2024-03-31,2460400.5,5,-8.49,-8.72,2088-2121,0,6.95548903922349
2006 XV4,0.036,(2006 XV4),24.88,bK06X04V,1.405e-07,2006-12-27,2454096.5,3,-7.07,-7.31,2101-2120,0,9.19167900355872
2008 YO2,0.0309,(2008 YO2),25.21,bK08Y02O,2.06610398e-05,2008-12-22,2454822.5,56,-4.84,-5.41,2052-2120,0,16.4650870027364
2005 UA1,0.018,(2005 UA1),26.35,bK05U01A,8.38209e-08,2005-11-11,2453685.5,2,-6.99,-6.99,2036-2048,0,14.6798518507914
2006 AU3,0.019,(2006 AU3),26.31,bK06A03U,4.47498e-07,2006-01-10,2453745.5,4,-7.30,-7.36,2078-2109,0,7.37176622018422
2006 DO62,0.0073,(2006 DO62),28.34,bK06D62O,1.7440268e-06,2006-02-24,2453790.5,10,-7.28,-7.58,2053-2088,0,10.8393890621406
2004 RV164,0.049,(2004 RV164),24.20,bK04RG4V,3.616e-08,2004-10-08,2453286.5,1,-7.42,-7.42,2111-2111,0,7.95
2005 BS1,0.012,(2005 BS1),27.29,bK05B01S,6.744e-07,2005-01-19,2453389.5,1,-6.74,-6.74,2041-2041,0,12.36
2008 XK,0.0125,(2008 XK),27.18,bK08X00K,6.3816e-09,2008-12-02,2454802.5,4,-8.92,-9.08,2050-2092,0,17.1980848063182
2022 GE,0.013,(2022 GE),27.12,bK22G00E,1.317885e-06,2022-04-09,2459678.5,9,-7.09,-7.25,2092-2120,0,12.1971413742474
2022 FP2,0.0073,(2022 FP2),28.34,bK22F02P,6.8841224e-05,2022-04-03,2459672.5,42,-5.82,-5.95,2054-2121,0,4.88198158678875
2022 CU4,0.0047,(2022 CU4),29.29,bK22C04U,6.97468434e-05,2022-02-26,2459636.5,102,-6.65,-7.45,2081-2122,0,4.42353258120352
2022 JM,0.006,(2022 JM),28.75,bK22J00M,9.569397e-06,2022-05-09,2459708.5,16,-7.24,-7.88,2092-2122,0,4.64259525652452
2022 ED,0.0053,(2022 ED),29.01,bK22E00D,9.1783e-07,2022-03-07,2459645.5,5,-8.43,-8.86,2115-2119,0,4.85822537942756
